# MODAL ANALYSIS REPORT

* 1. DOMAIN SIZE:
# This is the size of the problem: 1 for 1D problems, 2 for 2D problems, 3 for 3D problems.
3


* 2. EIGENVALUE ANALYSIS:
#          MODE        LAMBDA         OMEGA     FREQUENCY        PERIOD
# ------------- ------------- ------------- ------------- -------------
              1       69.5525       8.33981       1.32732      0.753396
              2       115.722       10.7574        1.7121      0.584079
              3        120.49       10.9768       1.74701      0.572407
              4       719.475        26.823       4.26902      0.234246
              5       1569.74       39.6199        6.3057      0.158587
              6        1809.1       42.5335       6.76942      0.147723
              7       2554.61       50.5432        8.0442      0.124313
              8       5935.45       77.0419       12.2616     0.0815554
              9       7828.27       88.4775       14.0816     0.0710145
             10       9829.33        99.143       15.7791      0.063375
             11       10164.7        100.82        16.046     0.0623207
             12       23661.1       153.822       24.4815     0.0408472
             13       30908.1       175.807       27.9805     0.0357391
             14       49350.2       222.149       35.3561     0.0282836
             15       65779.9       256.476       40.8194     0.0244981


* 3. TOTAL MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including the masses at fixed DOFs (if any).
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        1339.06       1339.06             0         23206         23206        126485


* 4. TOTAL FREE MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including only the masses at free DOFs.
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        1339.06       1339.06             0         23206         23206        126485


* 5. CENTER OF MASS:
# The center of mass of the structure, calculated from free masses.
#             X             Y             Z
# ------------- ------------- -------------
        8.93088       11.2506          8.64


* 6. MODAL PARTICIPATION FACTORS:
# The participation factor for a certain mode 'a' in a certain direction 'i'
# indicates how strongly displacement along (or rotation about)
# the global axes is represented in the eigenvector of that mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1   -0.00106722       1.40719             0      -2.89712    -0.0036494      -1.39559
              2      0.134344      0.182823             0     -0.415084       0.34404       15.7539
              3      -1.45565     0.0123599             0    -0.0299404      -3.60235       1.21846
              4   2.90736e-06      0.497396             0       4.53681   -0.00484939     -0.370199
              5     0.0430596    -0.0371386             0     -0.328124     -0.344746       -6.1043
              6      0.627498    0.00246724             0     0.0204799      -4.44683      0.440623
              7    0.00030543     -0.244704             0      -1.47544   -0.00238585      0.158757
              8   3.16315e-05     -0.199578             0      -1.68455   0.000297793     0.0229302
              9     0.0670909    -0.0126633             0    -0.0704164     -0.423751      -6.49058
             10     -0.731024    -0.0024545             0    -0.0163872       4.68366     -0.735945
             11   -0.00123714      0.169794             0       1.26553    0.00788904    -0.0672009
             12    -0.0630975    0.00737831             0      0.064891      0.474812       5.48709
             13     -0.606797  -0.000632494             0   -0.00559586       4.47572     -0.676926
             14    -0.0297618    0.00233383             0     0.0181891       0.21914       2.43671
             15      0.246724   0.000191692             0    0.00149419       -1.8137      0.289724


* 7. MODAL PARTICIPATION MASSES:
# The modal participation masses for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1   0.000608071       1057.19             0       4481.06    0.00711036       1039.83
              2       6.77267       12.5424             0       64.6537       44.4161       93131.9
              3       980.561     0.0706955             0      0.414836       6005.28        687.04
              4             0       162.477             0       13517.2      0.015444       90.0031
              5      0.900486      0.669868             0       52.2894       57.7211       18097.1
              6       204.725    0.00316498             0      0.218073       10281.3       100.944
              7   9.64073e-05       61.8825             0       2249.71    0.00588264       26.0467
              8   6.14848e-07       24.4768             0        1743.8    5.4495e-05      0.323104
              9      0.805414     0.0286935             0      0.887238       32.1302       7538.06
             10       83.2351   0.000938358             0     0.0418266       3416.76       84.3595
             11    0.00104646       19.7121             0       1095.05     0.0425536       3.08773
             12       0.44828    0.00612969             0      0.474126       25.3845       3390.07
             13       37.3486   4.05789e-05             0    0.00317629       2031.95       46.4805
             14      0.330679    0.00203341             0      0.123512        17.928       2216.64
             15       23.9281   1.44442e-05             0   0.000877595       1293.05       32.9955


* 8. MODAL PARTICIPATION MASSES (cumulative):
# The cumulative modal participation masses for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1   0.000608071       1057.19             0       4481.06    0.00711036       1039.83
              2       6.77328       1069.73             0       4545.71       44.4232       94171.7
              3       987.335        1069.8             0       4546.13        6049.7       94858.8
              4       987.335       1232.28             0       18063.4       6049.72       94948.8
              5       988.235       1232.95             0       18115.6       6107.44        113046
              6       1192.96       1232.95             0       18115.9       16388.7        113147
              7       1192.96       1294.83             0       20365.6       16388.7        113173
              8       1192.96       1319.31             0       22109.4       16388.7        113173
              9       1193.77       1319.34             0       22110.3       16420.8        120711
             10          1277       1319.34             0       22110.3       19837.6        120796
             11          1277       1339.05             0       23205.4       19837.6        120799
             12       1277.45       1339.06             0       23205.8         19863        124189
             13        1314.8       1339.06             0       23205.8         21895        124235
             14       1315.13       1339.06             0         23206       21912.9        126452
             15       1339.06       1339.06             0         23206         23206        126485


* 9. MODAL PARTICIPATION MASS RATIOS (%):
# The modal participation mass ratios (%) for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1   4.54104e-05         78.95             0         19.31   3.06402e-05      0.822096
              2      0.505779      0.936661             0      0.278608      0.191399       73.6309
              3       73.2277     0.0052795             0    0.00178763       25.8782       0.54318
              4   4.14559e-10       12.1337             0       58.2489   6.65521e-05     0.0711572
              5     0.0672478     0.0500253             0      0.225327      0.248734       14.3077
              6       15.2887   0.000236359             0   0.000939729       44.3044     0.0798073
              7   7.19964e-06       4.62135             0       9.69456   2.53497e-05     0.0205927
              8   4.59165e-08       1.82792             0       7.51446   2.34832e-07   0.000255449
              9     0.0601478    0.00214281             0    0.00382332      0.138457       5.95965
             10       6.21595    7.0076e-05             0   0.000180241       14.7236     0.0666953
             11    7.8149e-05       1.47209             0       4.71885   0.000183374    0.00244118
             12     0.0334773   0.000457762             0    0.00204312      0.109388       2.68022
             13       2.78917   3.03041e-06             0   1.36874e-05       8.75616     0.0367478
             14     0.0246949   0.000151854             0   0.000532244     0.0772558        1.7525
             15       1.78694   1.07868e-06             0   3.78177e-06       5.57207     0.0260865


* 10. MODAL PARTICIPATION MASS RATIOS (%) (cumulative):
# The cumulative modal participation mass ratios (%) for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1   4.54104e-05         78.95             0         19.31   3.06402e-05      0.822096
              2      0.505824       79.8866             0       19.5886       0.19143        74.453
              3       73.7335       79.8919             0       19.5904       26.0696       74.9961
              4       73.7335       92.0256             0       77.8393       26.0697       75.0673
              5       73.8008       92.0756             0       78.0646       26.3184        89.375
              6       89.0895       92.0758             0       78.0655       70.6228       89.4548
              7       89.0895       96.6972             0       87.7601       70.6229       89.4754
              8       89.0895       98.5251             0       95.2746       70.6229       89.4757
              9       89.1497       98.5272             0       95.2784       70.7613       95.4353
             10       95.3656       98.5273             0       95.2786       85.4849        95.502
             11       95.3657       99.9994             0       99.9974       85.4851       95.5044
             12       95.3992       99.9998             0       99.9995       85.5945       98.1847
             13       98.1884       99.9998             0       99.9995       94.3507       98.2214
             14       98.2131           100             0           100       94.4279       99.9739
             15           100           100             0           100           100           100


