# MODAL ANALYSIS REPORT

* 1. DOMAIN SIZE:
# This is the size of the problem: 1 for 1D problems, 2 for 2D problems, 3 for 3D problems.
3


* 2. EIGENVALUE ANALYSIS:
#          MODE        LAMBDA         OMEGA     FREQUENCY        PERIOD
# ------------- ------------- ------------- ------------- -------------
              1       64.2466        8.0154       1.27569      0.783889
              2       108.471        10.415       1.65759      0.603285
              3       109.496        10.464        1.6654      0.600455
              4       675.848       25.9971       4.13756      0.241688
              5        1509.1       38.8471       6.18271      0.161741
              6       1699.54       41.2255       6.56124       0.15241
              7        2451.1       49.5086       7.87953      0.126911
              8       5811.33       76.2321       12.1327     0.0824218
              9       7677.89       87.6236       13.9457     0.0717066
             10       9557.24       97.7611       15.5592     0.0642708
             11         10125       100.623       16.0147     0.0624427
             12       23473.4        153.21       24.3842     0.0410102
             13       30564.3       174.826       27.8245     0.0359396
             14       49283.8           222       35.3323     0.0283027
             15       65656.8       256.236       40.7812     0.0245211


* 3. TOTAL MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including the masses at fixed DOFs (if any).
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        1339.06       1339.06             0         23206         23206        126485


* 4. TOTAL FREE MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including only the masses at free DOFs.
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        1339.06       1339.06             0         23206         23206        126485


* 5. CENTER OF MASS:
# The center of mass of the structure, calculated from free masses.
#             X             Y             Z
# ------------- ------------- -------------
        8.93088       11.2506          8.64


* 6. MODAL PARTICIPATION FACTORS:
# The participation factor for a certain mode 'a' in a certain direction 'i'
# indicates how strongly displacement along (or rotation about)
# the global axes is represented in the eigenvector of that mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1   -0.00146038       1.41477             0      -2.93956   -0.00481531      -1.47574
              2      -1.67121     -0.111523             0      0.247708      -4.19884      -8.90695
              3     -0.982517      0.212315             0     -0.477398      -2.45043        17.486
              4  -5.83188e-07      0.497988             0       4.50077   -0.00518104     -0.394499
              5     0.0554683    -0.0394235             0     -0.346268     -0.424826      -6.18137
              6     -0.656439   -0.00337211             0    -0.0281831       4.55076     -0.569704
              7    0.00031812     -0.246184             0      -1.48721    -0.0023971       0.16923
              8   5.59676e-05     -0.202765             0      -1.69058   0.000137799     0.0188943
              9     0.0742063    -0.0125972             0    -0.0683499     -0.470885      -6.66058
             10     -0.745788   -0.00195104             0    -0.0123412       4.79298     -0.799075
             11    0.00064276     -0.171774             0      -1.27758   -0.00409699     0.0656086
             12    -0.0661599    0.00755251             0     0.0664434      0.494498       5.58422
             13     -0.613064  -0.000660466             0   -0.00585182       4.50125     -0.697203
             14    -0.0300666     0.0023458             0     0.0182416      0.221256       2.44602
             15      0.248505   0.000193923             0    0.00150766      -1.82615      0.292355


* 7. MODAL PARTICIPATION MASSES:
# The modal participation masses for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1     0.0011211       1052.16             0       4542.31     0.0121888       1144.81
              2       753.379       3.35491             0       16.5513       4755.64       21399.7
              3       227.178       10.6083             0        53.635       1413.09       71956.2
              4             0       163.348             0       13342.8     0.0176811        102.51
              5       1.46912      0.742126             0       57.2521       86.1766       18244.7
              6       208.717    0.00550771             0      0.384721       10030.8       157.205
              7   0.000105505       63.1843             0       2305.87     0.0059905        29.857
              8   1.94348e-06       25.5089             0       1773.29   1.17814e-05      0.221497
              9      0.944787      0.027227             0      0.801546       38.0435       7611.59
             10        84.524   0.000578471             0     0.0231454       3491.09       97.0341
             11   0.000281566       20.1093             0       1112.39     0.0114396       2.93363
             12      0.481079    0.00626916             0      0.485211       26.8754       3427.29
             13       37.9234   4.40145e-05             0    0.00345523       2044.38       49.0471
