# MODAL ANALYSIS REPORT

* 1. DOMAIN SIZE:
# This is the size of the problem: 1 for 1D problems, 2 for 2D problems, 3 for 3D problems.
3


* 2. EIGENVALUE ANALYSIS:
#          MODE        LAMBDA         OMEGA     FREQUENCY        PERIOD
# ------------- ------------- ------------- ------------- -------------
              1       85.4686       9.24492       1.47138      0.679636
              2       142.598       11.9414       1.90054      0.526167
              3       196.376       14.0134       2.23031      0.448369
              4       871.275       29.5174       4.69784      0.212864
              5       2168.81       46.5705       7.41192      0.134918
              6       2395.23       48.9411       7.78921      0.128383
              7        3044.2       55.1743       8.78126      0.113879
              8       6970.36       83.4887       13.2876     0.0752579
              9       10654.3       103.219       16.4279     0.0608721
             10         11756       108.425       17.2564     0.0579495
             11       11911.8       109.141       17.3704     0.0575693
             12       30273.5       173.993       27.6918     0.0361117
             13       37641.5       194.014       30.8783     0.0323852
             14       60737.8        246.45       39.2238     0.0254947
             15       80059.2       282.947       45.0325     0.0222062


* 3. TOTAL MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including the masses at fixed DOFs (if any).
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        1339.06       1339.06             0         23206         23206        126485


* 4. TOTAL FREE MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including only the masses at free DOFs.
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        1339.06       1339.06             0         23206         23206        126485


* 5. CENTER OF MASS:
# The center of mass of the structure, calculated from free masses.
#             X             Y             Z
# ------------- ------------- -------------
        8.93088       11.2506          8.64


* 6. MODAL PARTICIPATION FACTORS:
# The participation factor for a certain mode 'a' in a certain direction 'i'
# indicates how strongly displacement along (or rotation about)
# the global axes is represented in the eigenvector of that mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1   -0.00215474       1.33483             0      -2.72719   -0.00587649     -0.503425
              2      -1.39586   -0.00495568             0     0.0109989      -3.46532     -0.500987
              3     0.0635593    -0.0702131             0      0.213557      0.139819      -16.0191
              4  -0.000339882      0.488116             0       4.48792   -0.00131436     -0.178707
              5     -0.590854    0.00012412             0     0.0024529       4.17058      0.108312
              6    -0.0181676    -0.0175808             0     -0.163086     0.0901177      -5.59423
              7   0.000303106     -0.241874             0       -1.4583   -0.00251109     0.0862393
              8  -0.000166231     -0.195338             0      -1.66508    0.00158166     0.0643899
              9     0.0889297    -0.0128966             0    -0.0848803     -0.565826      -4.90767
             10   -0.00781903     -0.166339             0      -1.24074     0.0502078     0.0819094
             11      0.719492   -0.00518993             0    -0.0410051      -4.61795       1.16896
             12    -0.0555141    0.00535955             0     0.0456147       0.41782       4.05439
             13     -0.585986  -0.000715727             0   -0.00608322        4.3182     -0.734058
             14    -0.0300339    0.00251368             0     0.0192895      0.221213       2.35085
             15      0.236837   0.000211426             0    0.00162765      -1.74082        0.2833


* 7. MODAL PARTICIPATION MASSES:
# The modal participation masses for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1    0.00279128       1071.18             0       4471.41     0.0207611       152.365
              2       984.415      0.012408             0     0.0611214       6067.12       126.809
              3       1.52304       1.85862             0       17.1941       7.37034       96744.8
              4   7.85803e-05       162.071             0       13700.9    0.00117513        21.724
              5       206.805   9.12612e-06             0    0.00356419       10303.7       6.94946
              6      0.178806      0.167442             0       14.4086       4.39955       16953.9
              7    9.5658e-05       60.9133             0       2214.24    0.00656535       7.74362
              8   1.71919e-05       23.7397             0       1724.92    0.00155642        2.5795
              9        2.2662     0.0476599             0       2.06451       91.7421       6901.68
             10     0.0420967       19.0515             0       1059.99       1.73574       4.61966
             11       82.0239    0.00426788             0      0.266418       3378.99       216.515
