# MODAL ANALYSIS REPORT

* 1. DOMAIN SIZE:
# This is the size of the problem: 1 for 1D problems, 2 for 2D problems, 3 for 3D problems.
3


* 2. EIGENVALUE ANALYSIS:
#          MODE        LAMBDA         OMEGA     FREQUENCY        PERIOD
# ------------- ------------- ------------- ------------- -------------
              1       80.9005       8.99447       1.43151      0.698561
              2       135.154       11.6256       1.85027      0.540462
              3       188.556       13.7316       2.18545      0.457572
              4       823.884       28.7034       4.56829        0.2189
              5       2052.76       45.3074       7.21089      0.138679
              6       2288.79       47.8413       7.61418      0.131334
              7          2875       53.6191       8.53374      0.117182
              8       6574.84       81.0854       12.9051     0.0774885
              9       10122.7       100.611       16.0128       0.06245
             10       11075.2       105.239       16.7493      0.059704
             11       11261.2       106.119       16.8894     0.0592089
             12       28667.4       169.315       26.9472     0.0371095
             13       35559.9       188.573       30.0124     0.0333196
             14       57386.6       239.555       38.1263     0.0262286
             15       75588.4       274.933        43.757     0.0228535


* 3. TOTAL MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including the masses at fixed DOFs (if any).
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        1339.06       1339.06             0         23206         23206        126485


* 4. TOTAL FREE MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including only the masses at free DOFs.
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        1339.06       1339.06             0         23206         23206        126485


* 5. CENTER OF MASS:
# The center of mass of the structure, calculated from free masses.
#             X             Y             Z
# ------------- ------------- -------------
        8.93088       11.2506          8.64


* 6. MODAL PARTICIPATION FACTORS:
# The participation factor for a certain mode 'a' in a certain direction 'i'
# indicates how strongly displacement along (or rotation about)
# the global axes is represented in the eigenvector of that mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1   -0.00203715       1.33299             0      -2.72173    -0.0055597     -0.484316
              2      -1.39254   -0.00459328             0     0.0101901      -3.45516      -0.46973
              3     0.0598162     -0.067453             0      0.209013      0.130526      -15.9865
              4  -0.000325662      0.487843             0       4.48824    -0.0013115     -0.172754
              5     -0.589726   9.03445e-05             0    0.00214051       4.16619     0.0988511
              6    -0.0170822    -0.0169408             0      -0.15826     0.0830687       -5.5988
              7   0.000293455     -0.241698             0      -1.45721   -0.00246017     0.0818984
              8  -0.000166983     -0.195106             0      -1.66447    0.00158326     0.0654208
              9     0.0930881    -0.0132543             0     -0.087746     -0.592558      -4.89027
             10    -0.0067723     -0.166267             0      -1.24032     0.0434835     0.0879226
             11      0.719781   -0.00392032             0    -0.0316221      -4.61953       1.22077
             12    -0.0557405    0.00532928             0      0.045312      0.419484       4.02032
             13     -0.585556   -0.00072544             0   -0.00615769        4.3159     -0.739932
             14    -0.0300709    0.00252663             0      0.019376      0.221487       2.34575
             15      0.236616   0.000213333             0    0.00164115      -1.73922      0.283494


* 7. MODAL PARTICIPATION MASSES:
# The modal participation masses for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1    0.00250275       1071.58             0       4467.46     0.0186411       141.458
              2       984.861     0.0107154             0     0.0527376       6063.15       112.062
              3       1.35625       1.72467             0       16.5596       6.45796       96874.6
              4   7.21988e-05       162.016             0       13713.5    0.00117094       20.3167
              5       206.668   4.85037e-06             0    0.00272275       10314.6       5.80678
              6      0.157319      0.154726             0       13.5032       3.72021       16899.9
              7   8.96711e-05       60.8297             0       2211.12    0.00630234       6.98427
              8   1.73441e-05       23.6782             0       1723.29    0.00155925        2.6622
              9       2.48394     0.0503575             0       2.20702        100.65       6855.17
             10     0.0315279       19.0036             0       1057.53       1.29978       5.31402
             11       81.7552    0.00242526             0      0.157796       3367.53       235.171
             12      0.603237     0.0055142             0      0.398633       34.1647        3138.1
             13       37.2739   5.72098e-05             0    0.00412195       2024.93       59.5184
             14      0.344131    0.00242949             0      0.142876       18.6693       2094.09
             15       23.5211   1.91201e-05             0    0.00113153        1270.8       33.7644


* 8. MODAL PARTICIPATION MASSES (cumulative):
# The cumulative modal participation masses for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1    0.00250275       1071.58             0       4467.46     0.0186411       141.458
              2       984.863       1071.59             0       4467.51       6063.17        253.52
              3       986.219       1073.31             0       4484.07       6069.62       97128.1
              4       986.219       1235.33             0       18197.6       6069.63       97148.4
              5       1192.89       1235.33             0       18197.6       16384.2       97154.2
              6       1193.04       1235.49             0       18211.1       16387.9        114054
              7       1193.04       1296.31             0       20422.2       16387.9        114061
              8       1193.04       1319.99             0       22145.5       16387.9        114064
              9       1195.53       1320.04             0       22147.7       16488.6        120919
             10       1195.56       1339.05             0       23205.3       16489.9        120924
             11       1277.32       1339.05             0       23205.4       19857.4        121159
